6

DragonRoad.lvl
Dragon Road
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow

ThunderRoad.lvl
Thunder Road
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow

Ordeal.lvl
Big Blue
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow

WarioColosseum.lvl
Wario Colosseum
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow

Casino.lvl
Casino Palace
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow

RainbowRoadDS.lvl
Rainbow Road
4
Normal;100;Complete as Blue Falcon
Ring;100;100;Complete as Twin Norita
Chao;100;Complete as Soic Phantom
Hard;100;Complete as Black Shadow
